threshold,accuracy,precision,recall,f1,contact_rate
0.1,0.3491271820448878,0.2274582560296846,0.9903069466882067,0.36994568497284247,0.8400872817955112
0.15,0.5109102244389028,0.2800925925925926,0.9773828756058158,0.43540842029507015,0.6733167082294265
0.2,0.6474438902743143,0.34976525821596244,0.962843295638126,0.5131295738269479,0.5311720698254364
0.25,0.7462593516209476,0.42718446601941745,0.9240710823909531,0.5842696629213483,0.41739401496259354
0.3,0.8117206982543641,0.5069252077562327,0.8869143780290791,0.645123384253819,0.3375935162094763
0.35,0.8497506234413965,0.5756906077348066,0.8416801292407108,0.6837270341207349,0.2821072319201995
0.4,0.8672069825436409,0.6281540504648074,0.7641357027463651,0.6895043731778425,0.23472568578553615
0.45,0.8756234413965087,0.6746031746031746,0.6865912762520194,0.6805444355484388,0.19638403990024939
0.5,0.8781172069825436,0.7192307692307692,0.6042003231017771,0.6567164179104478,0.16209476309226933
0.55,0.8759351620947631,0.7649880095923262,0.5153473344103393,0.6158301158301158,0.12998753117206982
0.6,0.8684538653366584,0.8087774294670846,0.4168012924071082,0.5501066098081023,0.09943890274314214
0.65,0.8575436408977556,0.8375,0.3247172859450727,0.4679860302677532,0.07481296758104738
0.7,0.8485037406483791,0.8757062146892656,0.25040387722132473,0.38944723618090454,0.05517456359102244
0.75,0.8363466334164589,0.8790322580645161,0.17609046849757673,0.2934051144010767,0.03865336658354115
0.8,0.8273067331670823,0.922077922077922,0.1147011308562197,0.20402298850574713,0.024002493765586035
0.85,0.8201371571072319,0.9565217391304348,0.07108239095315025,0.13233082706766916,0.014339152119700748
0.9,0.8114089775561097,1.0,0.022617124394184167,0.044233807266982623,0.004364089775561097
